team_id,AB,R,H,1B,2B,3B,HR,RBI,TB,BB,K,SB,CS,AVG,SLG,OBP,OPS,wOBA
31,5652,824,1539,971,340,52,176,802,2511,520,1063,49,23,0.272,0.444,0.334,0.778,0.3414
32,5760,996,1638,1022,373,44,199,958,2696,643,1190,84,37,0.284,0.468,0.356,0.824,0.3615
33,5637,687,1474,1011,298,24,141,654,2243,422,1343,105,60,0.261,0.398,0.313,0.711,0.314
34,5773,918,1629,1027,375,30,197,884,2655,625,1245,22,12,0.282,0.46,0.352,0.812,0.3567
35,5670,705,1419,949,247,49,174,673,2286,446,1547,41,23,0.25,0.403,0.305,0.708,0.3122
36,5632,869,1532,1009,301,31,191,836,2468,663,1351,43,22,0.272,0.438,0.349,0.787,0.3475
37,5769,1008,1696,1129,350,27,190,964,2670,657,1157,38,19,0.294,0.463,0.366,0.829,0.3647
38,5580,767,1406,876,300,35,195,732,2361,646,1333,42,25,0.252,0.423,0.33,0.753,0.3327
39,5674,831,1562,1009,311,56,186,803,2543,507,1253,82,34,0.275,0.448,0.335,0.783,0.3434
40,5672,778,1510,1009,311,24,166,742,2367,539,1378,33,19,0.266,0.417,0.33,0.747,0.3302
41,5683,680,1426,987,278,25,136,656,2162,465,1273,33,26,0.251,0.38,0.308,0.688,0.3053
42,5752,948,1644,1067,330,36,211,908,2679,693,1179,43,18,0.286,0.466,0.363,0.829,0.3641
43,5514,737,1384,882,276,32,194,703,2306,501,1467,131,46,0.251,0.418,0.313,0.731,0.3224
44,5766,877,1576,1025,320,35,196,846,2554,600,1113,28,10,0.273,0.443,0.342,0.785,0.3455
45,5683,931,1618,1057,329,34,198,897,2609,678,1292,68,37,0.285,0.459,0.361,0.82,0.3609
46,5815,983,1681,1082,320,32,247,943,2806,623,1381,81,25,0.289,0.483,0.358,0.841,0.3678
47,5682,809,1539,978,335,32,194,785,2520,431,1233,55,24,0.271,0.444,0.322,0.766,0.3355
48,5693,918,1572,942,312,35,283,884,2803,609,1532,14,9,0.276,0.492,0.346,0.838,0.3657
49,5683,813,1519,989,304,33,193,789,2468,507,1228,10,6,0.267,0.434,0.327,0.761,0.3349
50,5805,877,1538,926,311,35,266,853,2717,501,1421,35,17,0.265,0.468,0.323,0.791,0.3455
51,5637,907,1568,1040,297,32,199,868,2526,659,1269,30,19,0.278,0.448,0.354,0.802,0.3535
52,5789,844,1639,1078,342,34,185,814,2604,452,1193,33,33,0.283,0.45,0.335,0.785,0.3441
53,5707,887,1602,1049,309,25,219,854,2618,548,1330,45,22,0.281,0.459,0.344,0.803,0.3522
54,162580,20328,40524,27422,7202,1007,4893,19498,64419,14921,44967,2470,958,0.249,0.396,0.312,0.708,0.3138
55,5743,797,1584,1037,384,31,132,772,2426,514,1213,35,20,0.276,0.422,0.335,0.757,0.3342
56,5739,958,1590,1018,299,23,250,922,2685,613,1422,45,23,0.277,0.468,0.347,0.815,0.3573
57,5685,791,1512,1049,258,43,162,756,2342,647,1436,65,28,0.266,0.412,0.341,0.753,0.3341
58,5572,782,1416,905,297,21,193,746,2334,555,1295,67,27,0.254,0.419,0.322,0.741,0.327
59,5764,863,1591,1026,357,23,185,821,2549,466,1366,31,14,0.276,0.442,0.33,0.772,0.339
60,5747,1026,1687,1023,350,53,261,982,2926,582,1121,55,28,0.294,0.509,0.359,0.868,0.3774
